1,Grocery,Fruits.png,Grocery,1,1608195210,1608195210
2,Snacks & Branded Foods,Snacks.png,Snacks & Branded Foods,1,1608195210,1608195210
3,Dairy & Bakery,Dairy.png,Dairy & Bakery,1,1608195210,1608195210
4,Home Care,Detergents.png,Home Care,1,1608195210,1608195210
5,Personal Care,Personal Care.png,Personal Care,1,1608195210,1608195210
6,Beverages,Beverages.png,Beverages,1,1608195210,1608195210
7,Baby Care,baby care.png,Baby Care,1,1608195210,1608195210
8,Fruits & Vegetables,Fruits.png,Fruits & Vegetables,1,1608195210,1608195210
